代码,名称,市场
002883,中设股份,SZ
301208,中亦科技,SZ
002405,四维图新,SZ
002868,绿康生化,SZ
002943,宇晶股份,SZ
002579,中京电子,SZ
000536,华映科技,SZ
002134,天津普林,SZ
300429,强力新材,SZ
301607,富特科技,SZ
300695,兆丰股份,SZ
300436,广生堂,SZ
300877,金春股份,SZ
301117,佳缘科技,SZ
001338,永顺泰,SZ
301580,爱迪特,SZ
000980,众泰汽车,SZ
300840,酷特智能,SZ
002177,御银股份,SZ
301000,肇民科技,SZ
002728,特一药业,SZ
300515,三德科技,SZ
002361,神剑股份,SZ
300411,金盾股份,SZ
002690,美亚光电,SZ
002531,天顺风能,SZ
002068,黑猫股份,SZ
300340,科恒股份,SZ
002344,海宁皮城,SZ
300329,海伦钢琴,SZ
002201,正威新材,SZ
300093,金刚光伏,SZ
002278,神开股份,SZ
300598,诚迈科技,SZ
002729,好利科技,SZ
300480,光力科技,SZ
002461,珠江啤酒,SZ
301197,工大科雅,SZ
300550,和仁科技,SZ
301217,铜冠铜箔,SZ
301359,东南电子,SZ
003028,振邦智能,SZ
002772,众兴菌业,SZ
300241,瑞丰光电,SZ
301288,清研环境,SZ
001696,宗申动力,SZ
301141,中科磁业,SZ
300749,顶固集创,SZ
300939,秋田微,SZ
301387,光大同创,SZ
301156,美农生物,SZ
002413,雷科防务,SZ
002295,精艺股份,SZ
300790,宇瞳光学,SZ
301528,多浦乐,SZ
300893,松原股份,SZ
301226,祥明智能,SZ
301456,盘古智能,SZ
301391,卡莱特,SZ
300831,派瑞股份,SZ
300777,中简科技,SZ
002286,保龄宝,SZ
300275,梅安森,SZ
300335,迪森股份,SZ
002248,华东数控,SZ
002337,赛象科技,SZ
000520,凤凰航运,SZ
300707,威唐工业,SZ
300699,光威复材,SZ
002862,实丰文化,SZ
002106,莱宝高科,SZ
301255,通力科技,SZ
300898,熊猫乳品,SZ
002275,桂林三金,SZ
301227,森鹰窗业,SZ
301120,新特电气,SZ
001228,永泰运,SZ
300518,新迅达,SZ
300252,金信诺,SZ
003026,中晶科技,SZ
300650,太龙股份,SZ
002231,奥维通信,SZ
002970,锐明技术,SZ
300379,东方通,SZ
300555,ST路通,SZ
300134,大富科技,SZ
301565,中仑新材,SZ
301030,仕净科技,SZ
300795,米奥会展,SZ
002972,科安达,SZ
000016,深康佳Ａ,SZ
300398,飞凯材料,SZ
301328,维峰电子,SZ
300368,ST汇金,SZ
000915,华特达因,SZ
000017,深中华A,SZ
301539,宏鑫科技,SZ
301429,森泰股份,SZ
002209,达 意 隆,SZ
300655,晶瑞电材,SZ
301167,建研设计,SZ
000729,燕京啤酒,SZ
301013,利和兴,SZ
002824,和胜股份,SZ
000819,岳阳兴长,SZ
002998,优彩资源,SZ
301503,智迪科技,SZ
300625,三雄极光,SZ
000627,天茂集团,SZ
002674,兴业科技,SZ
301331,恩威医药,SZ
002380,科远智慧,SZ
300908,仲景食品,SZ
300078,思创医惠,SZ
000856,冀东装备,SZ
300121,阳谷华泰,SZ
301051,信濠光电,SZ
300774,倍杰特,SZ
002735,王子新材,SZ
002897,意华股份,SZ
301282,金禄电子,SZ
301133,金钟股份,SZ
301234,五洲医疗,SZ
300546,雄帝科技,SZ
000042,中洲控股,SZ
301222,浙江恒威,SZ
301072,中捷精工,SZ
002820,桂发祥,SZ
000426,兴业银锡,SZ
300679,电连技术,SZ
300810,中科海讯,SZ
300853,申昊科技,SZ
300421,力星股份,SZ
002800,天顺股份,SZ
002719,麦趣尔,SZ
300645,正元智慧,SZ
301283,聚胶股份,SZ
300341,麦克奥迪,SZ
002559,亚威股份,SZ
300391,长药控股,SZ
300310,宜通世纪,SZ
002782,可立克,SZ
002484,江海股份,SZ
301339,通行宝,SZ
001215,千味央厨,SZ
301308,江波龙,SZ
002426,胜利精密,SZ
002695,煌上煌,SZ
002585,双星新材,SZ
000955,欣龙控股,SZ
301448,开创电气,SZ
300098,高新兴,SZ
300878,维康药业,SZ
003015,日久光电,SZ
300865,大宏立,SZ
300344,立方数科,SZ
300434,金石亚药,SZ
300557,理工光科,SZ
300414,中光防雷,SZ
300626,华瑞股份,SZ
300489,光智科技,SZ
301099,雅创电子,SZ
002850,科达利,SZ
301225,恒勃股份,SZ
002942,新农股份,SZ
301631,壹连科技,SZ
300672,国科微,SZ
301003,江苏博云,SZ
003017,大洋生物,SZ
002428,云南锗业,SZ
301377,鼎泰高科,SZ
300365,恒华科技,SZ
002568,百润股份,SZ
300807,天迈科技,SZ
300184,力源信息,SZ
300659,中孚信息,SZ
301090,华润材料,SZ
300170,汉得信息,SZ
300883,龙利得,SZ
001378,德冠新材,SZ
301330,熵基科技,SZ
000681,视觉中国,SZ
000099,中信海直,SZ
300812,易天股份,SZ
002826,易明医药,SZ
301033,迈普医学,SZ
300952,恒辉安防,SZ
300512,中亚股份,SZ
300585,奥联电子,SZ
002896,中大力德,SZ
003003,天元股份,SZ
002907,华森制药,SZ
301469,恒达新材,SZ
300922,天秦装备,SZ
003030,祖名股份,SZ
002179,中航光电,SZ
002901,大博医疗,SZ
300107,建新股份,SZ
300378,鼎捷数智,SZ
300687,赛意信息,SZ
002207,准油股份,SZ
301277,新天地,SZ
301178,天亿马,SZ
300613,富瀚微,SZ
300678,中科信息,SZ
002915,中欣氟材,SZ
001260,坤泰股份,SZ
301196,唯科科技,SZ
300640,德艺文创,SZ
300552,万集科技,SZ
002976,瑞玛精密,SZ
301153,中科江南,SZ
301373,凌玮科技,SZ
300856,科思股份,SZ
300599,雄塑科技,SZ
301319,唯特偶,SZ
002647,仁东控股,SZ
002029,七 匹 狼,SZ
000055,方大集团,SZ
300085,银之杰,SZ
002510,天汽模,SZ
002107,沃华医药,SZ
000848,承德露露,SZ
001202,炬申股份,SZ
300174,元力股份,SZ
002172,澳洋健康,SZ
301066,万事利,SZ
301525,儒竞科技,SZ
301136,招标股份,SZ
301130,西点药业,SZ
300803,指南针,SZ
300405,科隆股份,SZ
001318,阳光乳业,SZ
300432,富临精工,SZ
300700,岱勒新材,SZ
300658,延江股份,SZ
002566,益盛药业,SZ
301378,通达海,SZ
301360,荣旗科技,SZ
301126,达嘉维康,SZ
300909,汇创达,SZ
300221,银禧科技,SZ
002414,高德红外,SZ
300748,金力永磁,SZ
000622,*ST恒立,SZ
301281,科源制药,SZ
002787,华源控股,SZ
301010,晶雪节能,SZ
002636,金安国纪,SZ
001259,利仁科技,SZ
002738,中矿资源,SZ
300298,三诺生物,SZ
300793,佳禾智能,SZ
301210,金杨股份,SZ
301372,科净源,SZ
002460,赣锋锂业,SZ
000678,襄阳轴承,SZ
301053,远信工业,SZ
301299,卓创资讯,SZ
301041,金百泽,SZ
300834,星辉环材,SZ
300889,爱克股份,SZ
300397,天和防务,SZ
300389,艾比森,SZ
002698,博实股份,SZ
300086,康芝药业,SZ
002474,榕基软件,SZ
300819,聚杰微纤,SZ
002388,ST新亚,SZ
300535,达威股份,SZ
002612,朗姿股份,SZ
300779,惠城环保,SZ
002900,哈三联,SZ
300600,ST瑞科,SZ
300234,开尔新材,SZ
300927,江天化学,SZ
001229,魅视科技,SZ
300155,安居宝,SZ
301202,朗威股份,SZ
300801,泰和科技,SZ
300752,隆利科技,SZ
300804,广康生化,SZ
002145,中核钛白,SZ
300584,海辰药业,SZ
300647,超频三,SZ
001258,立新能源,SZ
301091,深城交,SZ
002180,纳思达,SZ
001333,光华股份,SZ
300643,万通智控,SZ
002365,永安药业,SZ
300150,世纪瑞尔,SZ
301276,嘉曼服饰,SZ
002497,雅化集团,SZ
002577,雷柏科技,SZ
000020,深华发Ａ,SZ
301149,隆华新材,SZ
300915,海融科技,SZ
300644,南京聚隆,SZ
300642,透景生命,SZ
002513,蓝丰生化,SZ
002544,普天科技,SZ
300948,冠中生态,SZ
002549,凯美特气,SZ
300813,泰林生物,SZ
001223,欧克科技,SZ
301555,惠柏新材,SZ
300136,信维通信,SZ
002169,智光电气,SZ
300511,雪榕生物,SZ
300466,赛摩智能,SZ
300219,鸿利智汇,SZ
300137,ST先河,SZ
002255,海陆重工,SZ
003018,金富科技,SZ
300842,帝科股份,SZ
001368,通达创智,SZ
002745,木林森,SZ
301335,天元宠物,SZ
002687,乔治白,SZ
301122,采纳股份,SZ
002269,美邦服饰,SZ
001316,润贝航科,SZ
001300,三柏硕,SZ
301203,国泰环保,SZ
300517,海波重科,SZ
300822,贝仕达克,SZ
001222,源飞宠物,SZ
300718,长盛轴承,SZ
300029,ST天龙,SZ
300875,捷强装备,SZ
301325,曼恩斯特,SZ
002913,奥士康,SZ
002186,全 聚 德,SZ
301180,万祥科技,SZ
301092,争光股份,SZ
300710,万隆光电,SZ
002756,永兴材料,SZ
301333,诺思格,SZ
300806,斯迪克,SZ
300462,华铭智能,SZ
300987,川网传媒,SZ
003011,海象新材,SZ
001358,兴欣新材,SZ
300295,三六五网,SZ
300758,七彩化学,SZ
301515,港通医疗,SZ
000566,海南海药,SZ
301511,德福科技,SZ
301376,致欧科技,SZ
300967,晓鸣股份,SZ
300171,东富龙,SZ
300741,华宝股份,SZ
002297,博云新材,SZ
301188,力诺药包,SZ
300301,*ST长方,SZ
300575,中旗股份,SZ
300907,康平科技,SZ
002689,远大智能,SZ
002387,维信诺,SZ
300045,华力创通,SZ
300769,德方纳米,SZ
002829,星网宇达,SZ
300402,宝色股份,SZ
301238,瑞泰新材,SZ
300189,神农种业,SZ
300087,荃银高科,SZ
002890,弘宇股份,SZ
002598,山东章鼓,SZ
002425,ST凯文,SZ
301097,天益医疗,SZ
300420,五洋自控,SZ
300542,新晨科技,SZ
300904,威力传动,SZ
000638,万方发展,SZ
301258,富士莱,SZ
301370,国科恒泰,SZ
301337,亚华电子,SZ
300461,田中精机,SZ
301189,奥尼电子,SZ
002167,东方锆业,SZ
300337,银邦股份,SZ
002973,侨银股份,SZ
002637,赞宇科技,SZ
002818,富森美,SZ
002792,通宇通讯,SZ
300450,先导智能,SZ
300094,国联水产,SZ
300797,钢研纳克,SZ
301272,英华特,SZ
301298,东利机械,SZ
301115,建科股份,SZ
002412,汉森制药,SZ
300784,利安科技,SZ
002808,ST恒久,SZ
301032,新柴股份,SZ
300169,天晟新材,SZ
300823,建科智能,SZ
300300,ST峡创,SZ
002875,安奈儿,SZ
300746,汉嘉设计,SZ
300951,博硕科技,SZ
300200,高盟新材,SZ
002935,天奥电子,SZ
300541,先进数通,SZ
300606,金太阳,SZ
301019,宁波色母,SZ
300837,浙矿股份,SZ
301137,哈焊华通,SZ
300631,久吾高科,SZ
002564,*ST天沃,SZ
300270,中威电子,SZ
003023,彩虹集团,SZ
300771,智莱科技,SZ
002694,顾地科技,SZ
002036,联创电子,SZ
301520,万邦医药,SZ
000973,佛塑科技,SZ
300019,硅宝科技,SZ
300539,横河精密,SZ
002304,洋河股份,SZ
301017,漱玉平民,SZ
002139,拓邦股份,SZ
301578,辰奕智能,SZ
002259,ST升达,SZ
300473,德尔股份,SZ
002893,京能热力,SZ
300266,兴源环境,SZ
300020,*ST银江,SZ
300966,共同药业,SZ
002630,华西能源,SZ
000695,滨海能源,SZ
300481,濮阳惠成,SZ
300338,*ST开元,SZ
301306,西测测试,SZ
300653,正海生物,SZ
002985,北摩高科,SZ
002813,路畅科技,SZ
002193,如意集团,SZ
002394,联发股份,SZ
001212,中旗新材,SZ
002655,共达电声,SZ
002436,兴森科技,SZ
300833,浩洋股份,SZ
300829,金丹科技,SZ
301622,英思特,SZ
300002,神州泰岳,SZ
300648,星云股份,SZ
